NAME,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO03708,7071.9,10.51,2.06,34.6,L,7182.6,1,12.5,1.56
ECO03709,4677.3,10.17,2.28,21.5,L,4677.3,1,11.36,0.6
ECO03710,7272.1,10.75,2.31,42.1,E,7182.6,0,12.5,1.54
ECO03711,6715.6,10.95,2.02,57.3,E,6715.6,1,12.61,0.66
ECO03712,5129.1,9.95,1.08,22.1,L,5129.1,1,11.45,0.35
ECO03713,4294.1,10.53,2.31,36.9,E,4216.5,1,12.06,0.9
ECO03714,5104.8,10.33,2.38,17.5,E,5053.5,0,12.67,1.66
ECO03715,6750.5,10.45,1.48,33.1,L,6750.5,1,11.96,0.85
ECO03716,6622.3,10.33,2.24,20.7,L,6628.9,0,13.01,2.89
ECO03717,7148.5,10.97,2.49,33.1,E,6987.5,1,12.28,2.17
ECO03718,7406.9,10.83,2.44,22.6,E,7406.9,1,11.97,0.87
ECO03719,6865.5,10.45,1.12,20.5,E,6865.5,1,12.04,0.47
ECO03720,4102.3,10.21,1.27,35.5,L,4216.5,0,12.06,0.85
ECO03721,6587.7,10.39,2.2,31.2,E,6587.7,1,11.57,0.86
ECO03722,2577.2,8.67,0.7,47.2,L,2560.5,1,10.99,0.43
ECO03723,6975.0,9.57,0.87,13.2,L,6971.0,1,11.36,0.58
ECO03724,4372.5,10.27,1.05,60.5,L,4372.5,1,11.87,0.32
ECO03725,4991.6,10.05,2.18,20.1,E,5053.5,0,12.67,1.56
ECO03726,6856.9,10.89,2.29,44.1,E,6856.9,1,12.12,2.32
ECO03727,6923.0,11.01,2.27,59.3,L,6955.5,1,12.4,2.89
ECO03728,6452.9,9.53,0.78,19.5,L,6452.9,1,11.34,0.46
ECO03729,7106.7,10.75,1.35,48.7,L,7106.7,1,12.39,0.85
ECO03730,6908.0,10.99,2.31,83.2,E,6964.1,1,12.29,1.73
ECO03731,6447.1,10.15,1.21,18.2,L,6447.1,1,11.61,2.36
ECO03732,7426.8,10.67,1.12,24.9,L,7426.8,1,12.32,0.55
ECO03733,4760.5,10.55,1.88,44.6,L,4760.5,1,11.63,0.41
ECO03734,5652.9,10.25,1.75,25.8,L,5652.9,1,11.47,0.92
ECO03735,6852.1,10.45,2.02,18.9,L,6852.1,1,11.82,0.76
ECO03736,4911.1,10.99,2.13,121.7,E,5053.5,1,12.67,1.68
ECO03737,6448.4,9.65,0.95,14.2,L,6448.4,1,11.38,0.57
ECO03738,3537.8,8.53,0.79,13.8,E,3537.8,1,10.84,0.26
ECO03739,6211.8,9.89,1.32,45.2,L,6211.8,1,11.52,0.23
ECO03740,6442.5,10.51,1.45,33.5,L,6442.5,1,11.78,0.65
ECO03741,6400.7,9.91,1.0,13.2,L,6295.1,1,12.03,3.55
ECO03742,6386.7,10.69,2.46,27.8,E,6262.4,1,11.93,2.6
ECO03743,6399.0,10.67,1.54,47.5,L,6399.0,1,11.95,0.26
ECO03744,7094.0,10.81,1.67,25.6,L,7074.3,1,12.06,2.59
ECO03745,6851.0,10.31,1.97,21.2,L,6757.9,1,11.75,1.02
ECO03746,6159.5,10.61,2.24,32.3,E,6159.5,1,11.82,2.41
ECO03747,6425.2,10.27,1.74,21.9,L,6349.9,1,11.94,1.84
ECO03748,2781.0,10.05,0.95,54.5,L,2781.0,1,11.63,0.69
ECO03749,7072.8,10.81,2.25,39.4,E,7072.8,1,12.02,2.07
ECO03750,6328.9,10.75,2.44,41.7,L,6328.9,1,11.87,1.22
ECO03751,6440.9,10.55,2.4,23.3,L,6440.9,1,11.67,9.09
ECO03752,7015.6,10.59,2.32,23.0,L,7015.6,1,11.72,2.86
ECO03753,4538.2,10.01,1.31,17.1,L,4538.2,1,11.41,0.98
ECO03754,2716.3,10.69,2.3,78.9,L,2705.2,1,12.16,1.03
ECO03755,2570.3,9.03,1.08,51.1,L,2705.2,0,12.16,1.02
ECO03756,2686.6,10.25,1.65,45.9,E,2686.6,1,11.43,0.55
ECO03757,2720.9,9.37,1.56,47.5,L,2705.2,0,12.16,1.0
ECO03758,5362.3,9.85,1.2,20.4,L,5362.3,1,11.36,0.36
ECO03759,7377.3,10.93,2.35,56.2,L,6589.0,0,14.45,20.01
ECO03760,2696.4,10.03,2.15,27.4,E,2705.2,0,12.16,1.03
ECO03761,7031.4,10.69,2.5,24.9,E,6589.0,0,14.45,19.53
ECO03762,6984.3,10.91,2.3,31.2,E,6589.0,0,14.45,18.08
ECO03763,7099.7,10.89,2.3,52.2,E,7228.2,1,12.08,3.1
ECO03764,4946.9,9.19,0.84,13.0,L,4946.9,1,11.13,0.82
ECO03765,6940.7,11.43,2.31,154.3,L,6589.0,0,14.45,22.6
ECO03766,7179.1,10.29,1.14,17.0,L,7179.1,1,11.79,0.78
ECO03767,2631.6,8.99,0.76,70.2,L,2631.6,1,11.0,0.66
ECO03768,6429.0,10.77,2.49,26.6,E,6429.0,1,11.84,4.79
ECO03769,3301.5,9.45,1.12,19.0,L,3301.5,1,11.12,0.35
ECO03770,6902.9,10.65,2.38,29.5,E,6589.0,0,14.45,15.48
ECO03771,6455.9,10.87,2.06,29.9,L,6338.0,1,12.39,5.29
ECO03772,7048.7,10.51,2.23,16.5,E,7048.7,1,11.8,3.06
ECO03773,6266.4,10.61,2.43,21.5,E,6589.0,0,14.45,17.43
ECO03774,6220.1,10.11,1.61,21.6,L,6338.0,0,12.39,4.48
ECO03775,7289.5,10.73,2.24,23.9,E,7309.2,1,12.19,1.01
ECO03776,7347.4,11.65,2.32,221.1,E,6589.0,0,14.45,20.09
ECO03777,5580.9,10.15,2.35,12.3,E,5580.9,1,11.31,1.58
ECO03778,6951.0,10.57,2.33,26.9,L,6589.0,0,14.45,25.16
ECO03779,7231.6,10.21,1.59,25.9,L,7204.7,1,11.62,2.49
ECO03780,4870.5,10.61,2.62,22.8,L,4870.5,1,11.56,0.49
ECO03781,6785.7,11.31,2.32,55.5,L,6852.0,1,12.83,6.16
ECO03782,6042.3,10.79,2.39,39.1,E,6589.0,0,14.45,23.07
ECO03783,6272.9,10.81,2.28,24.7,E,6272.9,1,12.0,3.0
ECO03784,7315.0,10.81,2.45,20.6,E,6589.0,0,14.45,23.4
ECO03785,6372.5,10.27,2.24,14.0,E,6372.5,1,11.44,6.09
ECO03786,5870.0,10.33,2.31,23.0,E,6589.0,0,14.45,25.22
